epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.8965,0.85643,0.82877,1,0.44149,0.00047092,0.00047092,0.00047092
2,36.4493,0.36414,0.93836,1,0.18496,0.000900365,0.000900365,0.000900365
3,57.7095,0.25946,0.89041,1,0.26883,0.00128265,0.00128265,0.00128265
4,76.9209,0.24317,0.92466,1,0.17129,0.00121679,0.00121679,0.00121679
5,93.3995,0.19991,0.93836,1,0.18286,0.00114606,0.00114606,0.00114606
6,110.32,0.17742,0.9726,1,0.10334,0.00107532,0.00107532,0.00107532
7,127.367,0.1708,0.96575,1,0.09995,0.00100459,0.00100459,0.00100459
8,144.591,0.16303,0.97945,1,0.09351,0.000933851,0.000933851,0.000933851
9,161.018,0.13719,0.9589,1,0.11716,0.000863116,0.000863116,0.000863116
10,178.105,0.15306,0.9726,1,0.09697,0.00079238,0.00079238,0.00079238
11,198.481,0.11652,0.9863,1,0.06861,0.000721645,0.000721645,0.000721645
12,217.699,0.11498,0.9863,1,0.05359,0.000650909,0.000650909,0.000650909
13,235.728,0.10239,0.99315,1,0.04,0.000580174,0.000580174,0.000580174
14,256.338,0.09573,0.9863,1,0.04294,0.000509438,0.000509438,0.000509438
15,274.632,0.09343,0.99315,1,0.03593,0.000438703,0.000438703,0.000438703
16,292.657,0.07569,0.9863,1,0.03727,0.000367967,0.000367967,0.000367967
17,309.951,0.09541,0.97945,1,0.05148,0.000297232,0.000297232,0.000297232
18,326.575,0.07554,0.9863,1,0.04916,0.000226497,0.000226497,0.000226497
19,344.477,0.09179,0.9863,1,0.04179,0.000155761,0.000155761,0.000155761
20,362.484,0.0755,0.99315,1,0.04019,8.50255e-05,8.50255e-05,8.50255e-05
